state,county,lat,long
NE,JEFFERSON,40.1757,-97.1426
IL,STEPHENSON,42.3517,-89.6625
NC,STANLY,35.312,-80.2507
TX,DELTA,33.3863,-95.6723
IN,HARRISON,38.1952,-86.1113
AR,POPE,35.4476,-93.0342
SD,JONES,43.9604,-100.6896
MO,CALLAWAY,38.8355,-91.926
TX,HANSFORD,36.2775,-101.3545
GA,JEFFERSON,33.0549,-82.4181
IL,POPE,37.4127,-88.5615
NE,RED WILLOW,40.1758,-100.4768
ND,BENSON,48.0694,-99.366
TN,BLEDSOE,35.5964,-85.2051
KY,MASON,38.5952,-83.824
PA,BEAVER,40.6823,-80.3493
MO,PULASKI,37.8246,-92.2076
LA,OUACHITA,32.4785,-92.1545
GA,TURNER,31.7164,-83.6242
KS,MARION,38.3588,-97.0969
ND,LOGAN,46.4574,-99.4775
MO,CARROLL,39.4268,-93.5052
SD,FAULK,45.0711,-99.1453
KS,OSAGE,38.6524,-95.7269
SD,PERKINS,45.4904,-102.4759
NC,TYRRELL,35.8161,-76.2118
VA,GREENSVILLE,36.6759,-77.5596
ND,PEMBINA,48.7672,-97.5517
TX,HUNT,33.1236,-96.0854
KS,MITCHELL,39.3933,-98.2095
AL,LAWRENCE,34.522,-87.311
KY,OLDHAM,38.3995,-85.4485
VA,CULPEPER,38.4861,-77.9559
OH,WARREN,39.4277,-84.1668
GA,GLASCOCK,33.2293,-82.6107
IN,FAYETTE,39.6401,-85.1787
IL,FORD,40.5972,-88.2233
KY,MEADE,37.9695,-86.2169
MN,MEEKER,45.1231,-94.5274
AL,FAYETTE,33.7212,-87.7388
MN,FILLMORE,43.674,-92.0901
NC,CATAWBA,35.6626,-81.2144
IN,FRANKLIN,39.4148,-85.0603
ND,SLOPE,46.4472,-103.4599
GA,OGLETHORPE,33.8807,-83.0806
KY,CASEY,37.3223,-84.9283
VA,DINWIDDIE,37.0759,-77.6323
KS,RILEY,39.2965,-96.7352
KY,FLEMING,38.3701,-83.6967
NE,CUSTER,41.3943,-99.7262
TN,HARDEMAN,35.2069,-88.9931
IL,MONROE,38.2785,-90.1774
TX,CARSON,35.4035,-101.3542
KY,GARRARD,37.6396,-84.5376
MD,QUEEN ANNES,38.989,-76.1834
WI,LINCOLN,45.3375,-89.7346
OK,DEWEY,35.9877,-99.008
IN,VERMILLION,39.8538,-87.464
IA,WOODBURY,42.3897,-96.0449
GA,MACON,32.3584,-84.0425
NE,MADISON,41.9167,-97.6008
NC,BURKE,35.7495,-81.7045
IA,OSCEOLA,43.3785,-95.6237
NY,SARATOGA,43.1074,-73.8639
KY,SHELBY,38.2155,-85.1948
